№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
20,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Малое предприятие,1025004907080,5038038838,50 - Московская область,,2016-01-08,Нет,Нет,Нет,36.0,341732,303726,184044,118633,108966
25,"""ЛАВИНА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Малое предприятие,1035010952624,5027064258,50 - Московская область,г Люберцы,2016-01-08,Нет,Нет,Нет,40.0,571571,434461,249375,253804,594302
52,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Среднее предприятие,1025007270551,5027006369,50 - Московская область,г Дзержинский,2016-01-08,Да,Нет,Нет,201.0,651543,566014,584219,683396,1565001
4651,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""2МЕН ГРУПП ДЕВЕЛОПМЕНТ""",Малое предприятие,1067746424899,7701651356,72 - Тюменская область,г Тюмень,2017-10-08,Да,Нет,Нет,19.0,152321,119682,64999,85623,74252
4653,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Малое предприятие,1021400692048,1414006922,77 - г.Москва,,2017-10-08,Да,Нет,Нет,35.0,427117,397084,685315,938983,1002486
4668,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Малое предприятие,1043301806415,3327332190,33 - Владимирская область,г Владимир,2022-10-08,Да,Нет,Нет,52.0,356631,569861,584483,458713,1031417
4674,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Малое предприятие,1027807999988,7816061297,78 - г.Санкт-Петербург,,2022-10-06,Да,Нет,Нет,21.0,112328,198107,179874,61921,116186
4677,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Малое предприятие,1023500875870,3525048992,35 - Вологодская область,г Вологда,2017-10-08,Нет,Нет,Нет,14.0,111979,135363,174460,332866,1838703
4678,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНОЕ СТРОИТЕЛЬНОЕ ОБЩЕСТВО №1""",Малое предприятие,1022500971800,2515000365,25 - Приморский край,,2017-10-08,Да,Нет,Нет,33.0,75979,92320,109061,210423,191358
4681,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Малое предприятие,1023101533883,3101000612,31 - Белгородская область,г Алексеевка,2017-10-08,Да,Нет,Нет,20.0,108680,8389,10052,11618,120415
4693,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Малое предприятие,1025900534406,5902126804,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,30.0,37346,19949,43676,52842,67038
4694,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Малое предприятие,1020501386443,523005733,05 - Республика Дагестан,,2021-10-10,Нет,Нет,Нет,34.0,,147175,64542,188416,29865
