,№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023,longitude,latitude
0,20,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Малое предприятие,1025004907080,5038038838,50 - Московская область,,2016-01-08,Нет,Нет,Нет,36.0,5872486,341732.0,303726.0,184044.0,118633.0,108966.0,37.85648,56.00353
2,52,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Среднее предприятие,1025007270551,5027006369,50 - Московская область,г Дзержинский,2016-01-08,Да,Нет,Нет,201.0,6900709,651543.0,566014.0,584219.0,683396.0,1565001.0,37.899994,55.67241
4,4653,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Малое предприятие,1021400692048,1414006922,77 - г.Москва,,2017-10-08,Да,Нет,Нет,35.0,4980670,427117.0,397084.0,685315.0,938983.0,1002486.0,37.623688,55.708755
5,4668,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Малое предприятие,1043301806415,3327332190,33 - Владимирская область,г Владимир,2022-10-08,Да,Нет,Нет,52.0,3867230,356631.0,569861.0,584483.0,458713.0,1031417.0,40.385628,56.146744
6,4674,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Малое предприятие,1027807999988,7816061297,78 - г.Санкт-Петербург,,2022-10-06,Да,Нет,Нет,21.0,7041303,112328.0,198107.0,179874.0,61921.0,116186.0,30.365017,59.884026
7,4677,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Малое предприятие,1023500875870,3525048992,35 - Вологодская область,г Вологда,2017-10-08,Нет,Нет,Нет,14.0,6840082,111979.0,135363.0,174460.0,332866.0,1838703.0,39.885986,59.217236
9,4681,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Малое предприятие,1023101533883,3101000612,31 - Белгородская область,г Алексеевка,2017-10-08,Да,Нет,Нет,20.0,7244164,108680.0,8389.0,10052.0,11618.0,120415.0,38.688187,50.634556
10,4693,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Малое предприятие,1025900534406,5902126804,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,30.0,2608351,37346.0,19949.0,43676.0,52842.0,67038.0,56.203693,57.975723
11,4694,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Малое предприятие,1020501386443,523005733,05 - Республика Дагестан,,2021-10-10,Нет,Нет,Нет,34.0,4659067,,147175.0,64542.0,188416.0,29865.0,48.348559,41.619535
13,4712,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Среднее предприятие,1107746340745,7724745755,77 - г.Москва,,2021-10-07,Да,Нет,Нет,67.0,2083796,2520955.0,1644191.0,257980.0,293310.0,1129443.0,37.593417,55.812767
14,4713,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Малое предприятие,1030500602813,504007693,05 - Республика Дагестан,,2022-10-11,Нет,Нет,Нет,29.0,5591507,589234.0,28257.0,33431.0,17729.0,546027.0,48.348559,41.619535
15,4719,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Малое предприятие,1022900534700,2901030646,29 - Архангельская область,г Архангельск,2017-10-08,Да,Нет,Нет,136.0,1410906,139146.0,166221.0,1030543.0,1801626.0,750704.0,40.535133,64.548256
16,4733,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Среднее предприятие,1037739289136,7709008852,77 - г.Москва,,2023-10-07,Да,Нет,Нет,205.0,6462814,1722945.0,2382823.0,2869295.0,975011.0,1152402.0,37.64813,55.8064
17,4737,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Среднее предприятие,1133850019588,3811167535,38 - Иркутская область,г Иркутск,2023-10-07,Нет,Нет,Нет,208.0,7906828,230259.0,501709.0,394243.0,259740.0,354342.0,104.29914,52.288647
18,4738,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Малое предприятие,1037821032061,7810255553,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,11.0,5028116,277069.0,107081.0,117439.0,58676.0,316038.0,30.270311,59.937054
19,4748,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Малое предприятие,1021000977315,1011005108,10 - Республика Карелия,г Беломорск,2017-10-08,Нет,Нет,Нет,54.0,91738,88724.0,99834.0,111822.0,96815.0,95063.0,34.30783,63.74548
21,4757,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Малое предприятие,1062310006351,2310111297,23 - Краснодарский край,г Краснодар,2017-10-08,Нет,Нет,Нет,15.0,6320206,611783.0,799285.0,363535.0,15542.0,211510.0,38.98416,45.055992
22,4764,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Малое предприятие,1053244000809,3250057750,32 - Брянская область,г Брянск,2017-10-08,Да,Нет,Нет,8.0,611402,172753.0,208585.0,3423.0,26456.0,6556.0,34.345196,53.263046
24,4779,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Среднее предприятие,1067746666998,7703595570,77 - г.Москва,,2019-10-08,Нет,Нет,Нет,55.0,5052529,358129.0,948218.0,1043523.0,1258495.0,428084.0,37.553185,55.7601
25,4785,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИСКО""",Малое предприятие,1027807562210,7813059155,78 - г.Санкт-Петербург,,2021-10-07,Да,Нет,Нет,0.0,7051667,1212912.0,15682.0,,,,30.265001,59.984383
26,4786,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Малое предприятие,1227700020085,7743373485,77 - г.Москва,,2024-10-01,Нет,Нет,Нет,4.0,11757735,,,,199800.0,69256.0,,
27,4787,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Малое предприятие,1023301463536,3328412522,33 - Владимирская область,г Владимир,2017-10-08,Да,Нет,Нет,64.0,5665425,147611.0,117381.0,158481.0,249303.0,593130.0,40.385628,56.146744
28,4801,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Малое предприятие,1027739927852,7728135831,77 - г.Москва,,2022-10-09,Нет,Нет,Нет,98.0,7115565,37684.0,36363.0,406098.0,587933.0,1180035.0,37.593417,55.812767
30,4805,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",Малое предприятие,1022402472674,2465006513,24 - Красноярский край,г Красноярск,2017-10-08,Да,Нет,Нет,24.0,5525079,40331.0,51419.0,76412.0,64565.0,82129.0,92.95175,56.04714
31,4823,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",Малое предприятие,1025900532008,5902115094,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,47.0,2606257,757338.0,216861.0,97279.0,165505.0,112635.0,56.244885,58.010288
32,4824,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",Малое предприятие,1022502119342,2539030721,25 - Приморский край,г Владивосток,2017-10-08,Да,Нет,Нет,23.0,5362511,135995.0,220932.0,338042.0,364002.0,132133.0,131.91133,43.167618
33,4836,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",Среднее предприятие,1087746976239,7704697207,77 - г.Москва,,2021-10-07,Да,Нет,Нет,0.0,5617920,1329743.0,384885.0,99755.0,0.0,,37.414753,55.65519
