№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
20,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Малое предприятие,1025004907080,5038038838,50 - Московская область,,2016-01-08,Нет,Нет,Нет,36.0,5872486
52,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Среднее предприятие,1025007270551,5027006369,50 - Московская область,г Дзержинский,2016-01-08,Да,Нет,Нет,201.0,6900709
4653,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Малое предприятие,1021400692048,1414006922,77 - г.Москва,,2017-10-08,Да,Нет,Нет,35.0,4980670
4668,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Малое предприятие,1043301806415,3327332190,33 - Владимирская область,г Владимир,2022-10-08,Да,Нет,Нет,52.0,3867230
4674,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Малое предприятие,1027807999988,7816061297,78 - г.Санкт-Петербург,,2022-10-06,Да,Нет,Нет,21.0,7041303
4677,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Малое предприятие,1023500875870,3525048992,35 - Вологодская область,г Вологда,2017-10-08,Нет,Нет,Нет,14.0,6840082
4681,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Малое предприятие,1023101533883,3101000612,31 - Белгородская область,г Алексеевка,2017-10-08,Да,Нет,Нет,20.0,7244164
4693,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Малое предприятие,1025900534406,5902126804,59 - Пермский край,г Пермь,2017-10-08,Да,Нет,Нет,30.0,2608351
4694,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Малое предприятие,1020501386443,523005733,05 - Республика Дагестан,,2021-10-10,Нет,Нет,Нет,34.0,4659067
4710,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРОВАНА""",Малое предприятие,1165009053802,5009106346,50 - Московская область,г Домодедово,2023-10-07,Нет,Нет,Нет,,
